latitude,longitude,area_in_meters,confidence
-33.50114342,-70.75140411,156.8931,0.839
-33.5241192,-70.77288061,2.71,0.6888
-33.52397432,-70.78864128,17.2232,0.6685
-33.52214576,-70.7819743,168.8432,0.8828
-33.52404529,-70.78951408,141.819,0.8093
-33.50924386,-70.76494406,16.031,0.7702
-33.49821138,-70.77133705,140.7596,0.8906
-33.50941473,-70.74958815,22.7311,0.6716
-33.50480367,-70.76749192,80.1767,0.8567
-33.50349407,-70.76744447,170.685,0.7563
-33.50935198,-70.76552676,52.6349,0.6942
-33.49060575,-70.75995996,4.8757,0.6999
-33.52027719,-70.75016087,17.8426,0.7043
-33.51916195,-70.77740705,9.6242,0.7207
-33.5001052,-70.77476546,109.3436,0.7642
-33.49133162,-70.76363829,237.7182,0.8182
-33.52785395,-70.76886128,31.7601,0.7687
-33.50837466,-70.75132317,97.3694,0.8303
-33.49628714,-70.76731128,105.1478,0.7707
-33.52044042,-70.7884029,21.5766,0.6886
-33.49299814,-70.78240475,179.441,0.8553
-33.52513182,-70.75455048,56.5467,0.8035
-33.50188265,-70.74843356,153.7216,0.8801
-33.50292937,-70.77405805,86.2651,0.7621
-33.50240108,-70.78818508,34.3291,0.7793
-33.51415993,-70.74473679,22.8629,0.746
-33.50473649,-70.75037766,491.2802,0.9012
-33.50044928,-70.77499456,80.7955,0.8202
-33.50083547,-70.7773998,11.383,0.6677
-33.5224511,-70.77297228,20.4598,0.6949
-33.52086934,-70.76999293,85.9999,0.793
-33.51960261,-70.76553242,67.787,0.8196
-33.5011315,-70.77028137,61.2169,0.8689
-33.52777586,-70.77333085,146.4661,0.861
-33.52326203,-70.77959133,72.0129,0.7673
-33.5061504,-70.74122623,21.3328,0.7279
-33.49438542,-70.74297247,148.0198,0.815
-33.49887531,-70.76396267,461.7193,0.8329
-33.51400966,-70.78337757,6.989,0.7287
-33.52043964,-70.78161537,46.6332,0.8053
-33.51220136,-70.78877877,36.0145,0.7317
-33.51590523,-70.77736535,123.0977,0.8615
-33.50142505,-70.7848331,123.1641,0.8959
-33.49385856,-70.74196133,76.3826,0.8332
-33.51007852,-70.7760387,192.3021,0.7923
-33.49892225,-70.75092253,28.7972,0.7696
-33.49165633,-70.74605158,84.5024,0.8415
-33.50302092,-70.77231262,154.0325,0.836
-33.51778584,-70.78025197,23.7555,0.7664
-33.50626219,-70.76612799,61.1445,0.7556
-33.51170619,-70.76780213,94.4092,0.904
-33.51232089,-70.78779692,44.2359,0.8019
-33.50541308,-70.78524328,393.3647,0.8752
-33.49007634,-70.77426853,341.8144,0.8188
-33.52420495,-70.7675961,302.2428,0.8185
-33.52950885,-70.76625758,176.2592,0.8467
-33.50207429,-70.77254927,16.0177,0.7525
-33.49926624,-70.77561598,7.6359,0.6627
-33.5148733,-70.77755824,27.791,0.6598
-33.49780639,-70.76249451,47.1688,0.7604
-33.51449331,-70.77322202,370.5153,0.8241
-33.49392234,-70.78197818,114.0895,0.8889
-33.51962374,-70.77675803,31.6464,0.784
-33.52834072,-70.76381731,9.4895,0.7326
-33.51301019,-70.76371822,118.609,0.8538
-33.50538632,-70.76476926,39.6787,0.7548
-33.52263426,-70.7656891,145.449,0.8101
-33.50167326,-70.75292266,7.0124,0.668
-33.51573534,-70.77995323,5.1092,0.663
-33.50802025,-70.7849729,8.7342,0.6543
-33.51047985,-70.78625372,32.4349,0.7959
-33.49683689,-70.74876439,10.4044,0.676
-33.50063423,-70.74493702,66.1327,0.836
-33.4951187,-70.77818012,136.0773,0.9149
-33.51424003,-70.74427733,68.3919,0.7824
-33.51858339,-70.75981578,11.6244,0.6942
-33.51468798,-70.77743491,83.2174,0.8917
-33.5011002,-70.74963213,66.8373,0.8123
-33.51348798,-70.75337269,33.0051,0.714
-33.52041087,-70.78945841,87.9333,0.7359
-33.50790527,-70.75878111,17.9424,0.6637
-33.5131733,-70.76595038,784.0489,0.8101
-33.51541347,-70.78287189,81.2674,0.7842
-33.5137353,-70.7849284,8.23,0.6777
-33.50382923,-70.77748306,14.3501,0.7531
-33.50215249,-70.77271563,5.1292,0.6799
-33.51105641,-70.77464163,394.1883,0.8207
-33.50513482,-70.76830244,34.1613,0.8116
-33.49161888,-70.76613425,135.0802,0.8768
-33.50973169,-70.78174477,20.8984,0.6635
-33.51120654,-70.77938669,56.3433,0.8976
-33.508754,-70.78019607,44.1271,0.6587
-33.52457882,-70.76906853,22.7644,0.8063
-33.49933374,-70.74194451,16.2495,0.8096
-33.49383393,-70.76484134,11.2252,0.6978
-33.50104269,-70.75539299,120.6233,0.7731
-33.50348691,-70.75694242,124.9026,0.896
-33.49309148,-70.74116281,8.3524,0.656
-33.50450686,-70.77204002,23.1887,0.7182
-33.50910661,-70.75272609,26.8513,0.7704
-33.51468104,-70.77722475,111.6904,0.8389
-33.51097832,-70.74101526,25.9404,0.7377
-33.52018111,-70.77434411,112.1813,0.8278
-33.52280091,-70.78193133,19.2753,0.6502
-33.50650265,-70.78214193,65.3699,0.8401
-33.49281578,-70.78117573,144.5855,0.8792
-33.5001683,-70.77493354,10.6213,0.6939
-33.49891483,-70.75467841,21.4601,0.6708
-33.5072195,-70.78562831,168.0333,0.7894
-33.52132434,-70.76512007,284.0684,0.7824
-33.51135219,-70.7435589,185.4014,0.8427
-33.51420661,-70.78725508,105.0041,0.8108
-33.51543502,-70.7717462,28.0299,0.7221
-33.51996051,-70.78481083,52.5067,0.7533
-33.52170992,-70.78622455,34.3914,0.7151
-33.49550744,-70.75908422,87.5046,0.7504
-33.52360311,-70.77150129,140.8233,0.8092
-33.49185004,-70.74740924,79.4735,0.8213
-33.50528626,-70.78480277,29.5617,0.7488
-33.51531566,-70.78698904,23.3513,0.701
-33.50832632,-70.76665731,37.3728,0.7697
-33.50392294,-70.77369225,42.7572,0.7112
-33.52021479,-70.76032015,40.6555,0.8202
-33.51001653,-70.75691171,45.3671,0.8047
-33.50209326,-70.76035032,204.2577,0.7882
-33.52908744,-70.77514913,31.8243,0.8034
-33.50590687,-70.77281534,42.5212,0.8607
-33.51247316,-70.75945319,159.8197,0.8695
-33.49711061,-70.74598165,16.0878,0.6625
-33.50836169,-70.76129384,232.5089,0.8723
-33.49426933,-70.74787387,277.0502,0.8625
-33.52408627,-70.77592341,25.8824,0.6691
-33.51148284,-70.77196153,256.2695,0.8242
-33.50050078,-70.75050238,53.9616,0.8237
-33.51585658,-70.77043357,60.0584,0.7281
-33.52370112,-70.78948198,124.8108,0.7508
-33.52248274,-70.78081124,118.4708,0.8995
-33.49950668,-70.77090271,41.8772,0.765
-33.51559524,-70.77693547,30.5151,0.7962
-33.51625842,-70.78740919,23.4238,0.6503
-33.5005167,-70.76851935,18.871,0.6832
-33.51586151,-70.75098501,185.6688,0.8826
-33.51798039,-70.76352919,17.1522,0.7087
-33.52797591,-70.77317102,101.411,0.8927
-33.51761465,-70.76492229,19.9273,0.7677
-33.52372021,-70.78021912,14.6893,0.6757
-33.49197765,-70.74187476,104.8172,0.794
-33.49978452,-70.78709087,22.1583,0.7218
-33.51643184,-70.76875967,3.1998,0.6753
-33.51763756,-70.77893286,55.5933,0.7603
-33.52663412,-70.78879753,389.6352,0.854
-33.4941498,-70.77875152,31.1905,0.7497
-33.49612869,-70.77005255,85.4699,0.7989
